0,WHAT IS POPESE.COM,*,*,Popese is an online ticketing system that provides ticketing solutions with seat plans.,final.aiml
0,HOW CAN YOU HELP ME,*,*,I can help you with most of your enquires regarding the events#Comma venues and time. Type the name of the event you want to know about,final.aiml
0,CAN I BUY POPESE TICKETS FROM UNAUTHORIZED TICKET VENDORS,*,*,It is not suggested to buy the tickets from unauthorized third parters due to their terms and conditions. The ticket(s) may not#Comma without the authorised written agreement of Popese and the Promoter#Comma be resold (including via online auction or other unauthorised resale platforms) or used for commercial purposes and activities (including advertising#Comma complimentary ticket promotion). If the ticket is sold or used violating the condition#Comma the ticket may be cancelled without a refund and the ticketholder may be refused admission.,final.aiml
0,WILL THERE BE ANY TIME LIMIT WHEN I BUY TICKETS ON-LINE,*,*,Yes#Comma you have 120mins to complete the pruchase after you choosing the seat(s). You can pa,final.aiml
0,ARE CAMERAS AND/OR VIDEO CAMERAS ALLOWED AT VENUES,*,*,Cameras are not permitted for most venues. Please contact the venue for more information.,final.aiml
0,HOW DO I MAKE CORPORATE AND GROUP PURCHASES,*,*,10% discount will be offered to a group with 10 people and above. Please connect our staff to get the group promotion code. Email:info@popese.com#Comma  Monday to Friday 10am -5pm.,final.aiml
0,WHAT HAPPENS WHEN A SHOW IS CANCELLED OR POSTPONED,*,*,Our staff will contact you if the show is cancelled or postopend. You can ask for a fully refuned if if the show is cancelled or postopend.,final.aiml
0,HOW DO I FIND AN EVENT AND BOOK MY TICKET,*,*,You can find the events on https://popese.com. Just click your favoutite event and choose the seat on our website by registering an account.,final.aiml
0,CAN YOU HELP ME WITH THE VENUE INFORMATION,*,*,Which venue information are you look for 1.Adelaide Festival Theatre#Comma 2. Adelaide City Town Hall. 3. Dunstan Play House#Comma 4. Her Majestys Theatre,final.aiml
0,HOW LONG DOES IT TAKE FOR TICKETS TO REACH ME BY MAIL,*,*,It will take 2-3 business days to send the e-ticket(s) to your email after we confirm your payment.,final.aiml
